Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,18.44,0.02,4.36,4.60,1.47,7.11,10.77,8.24,8.29,7.76,2.70,509.13,708.33,377.05
2,17.93,0.00,1.57,9.51,9.59,6.23,10.40,6.21,7.53,7.01,1.87,206.16,481.16,276.09
3,28.84,0.08,5.06,2.25,5.45,12.27,13.53,9.37,8.64,8.40,4.35,334.98,258.54,229.89
4,29.79,0.01,8.68,1.84,8.54,8.86,20.30,14.44,13.90,14.32,8.78,690.28,750.91,666.44
5,121.32,0.17,8.18,7.94,6.63,27.59,72.53,47.50,48.26,45.23,80.60,1115.38,1257.62,978.00
6,24.30,0.64,5.56,8.32,6.24,9.42,13.80,9.17,9.63,9.18,93.34,600.67,530.86,439.98
7,11.53,1.33,5.52,1.13,5.41,5.90,4.90,3.30,3.87,3.18,59.64,126.19,243.97,116.79
8,25.84,2.22,1.59,0.59,1.68,9.10,11.48,9.41,10.30,10.26,216.18,426.65,568.55,480.68
