Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,7.27,0.02,5.11,4.64,3.47,5.04,2.09,1.33,1.11,1.53,1.01,68.12,82.60,94.22
2,10.95,0.01,5.24,1.26,5.15,5.76,5.03,4.03,3.54,3.69,2.66,410.33,274.67,319.40
3,11.93,0.02,2.51,5.27,5.37,6.06,5.27,4.00,4.01,4.02,5.47,290.51,249.52,252.55
4,16.73,0.02,2.86,3.50,4.39,8.81,7.72,5.18,5.29,5.88,6.28,323.58,335.46,476.27
5,18.73,0.53,4.29,9.64,9.28,8.39,9.11,4.96,5.70,6.11,42.31,159.82,263.56,308.50
6,24.33,0.82,2.88,2.37,1.67,10.68,5.10,10.22,9.50,10.68,145.77,828.56,662.41,1223.34
7,7.92,0.81,5.62,5.60,0.99,5.43,2.23,1.58,1.88,1.71,145.11,74.83,178.36,141.34
8,18.45,1.77,2.13,1.45,2.00,7.68,5.50,6.63,6.89,6.39,203.93,457.31,324.03,376.54
