Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,24.83,0.01,6.56,3.05,6.73,7.93,4.24,1.90,6.56,1.22,1.41,1.56,0.98,0.40,27.75,66.25,84.75
2,67.29,0.01,4.60,5.13,2.32,20.31,15.36,7.00,6.64,4.73,6.62,6.61,1.92,0.53,189.75,428.39,91.38
3,19.25,0.05,0.00,3.62,3.62,8.98,1.74,5.23,0.70,2.59,0.00,0.00,5.26,0.36,135.38,0.00,0.00
4,91.55,0.01,4.94,5.78,6.26,39.26,15.04,7.36,8.86,7.39,7.13,6.51,3.66,1.13,256.38,401.66,151.75
5,31.19,0.40,3.25,0.00,3.25,12.12,6.11,7.08,3.34,0.00,0.00,2.52,48.20,14.52,0.00,0.00,71.75
6,36.42,0.68,5.83,4.96,3.20,14.59,8.03,6.30,1.69,1.62,3.22,0.96,74.57,38.18,37.63,370.15,39.00
7,17.70,1.34,7.25,7.61,5.06,9.36,2.09,1.62,0.78,0.72,1.63,1.48,60.35,1.99,7.75,183.10,83.25
8,21.25,2.30,5.13,2.55,4.76,9.12,2.92,4.18,0.53,1.63,1.36,1.50,117.57,8.43,47.00,138.13,105.00
