Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,11.44,0.01,1.11,0.96,0.77,2.88,6.21,4.20,4.44,3.82,1.31,121.11,158.59,110.56
2,25.62,0.01,3.34,6.65,7.22,13.70,10.66,6.11,6.87,6.44,1.91,169.45,265.58,178.62
3,12.28,0.02,7.45,5.67,9.33,6.32,3.84,3.42,3.52,2.91,5.53,131.31,102.72,66.21
4,14.98,0.01,6.02,1.68,6.16,4.69,8.41,5.94,4.78,5.19,4.22,185.49,97.00,133.21
5,18.03,0.14,8.85,9.34,3.01,7.70,9.37,6.00,5.49,6.43,44.57,138.08,217.33,277.20
6,13.63,0.09,0.76,0.76,0.12,3.17,7.66,5.08,6.29,6.24,178.63,341.47,310.88,517.32
7,21.01,1.25,2.27,1.50,2.72,5.67,10.18,8.46,9.52,8.59,258.09,257.24,369.89,383.93
8,16.99,2.00,2.08,0.74,2.07,4.50,8.86,7.33,7.33,7.11,251.34,390.43,360.32,509.71
