Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,29.75,0.01,6.68,0.00,6.68,13.69,7.83,3.69,2.22,0.00,2.30,0.00,1.12,0.60,0.00,176.85,0.00
2,60.11,0.01,9.61,8.22,5.04,27.21,9.53,4.27,7.29,4.01,6.11,1.68,1.35,0.35,142.00,592.15,44.75
3,13.23,0.06,0.00,1.50,1.50,7.58,0.80,1.69,1.22,1.93,0.00,0.00,3.53,0.39,91.50,0.00,0.00
4,44.45,0.01,2.90,7.52,7.02,20.88,6.60,4.98,2.38,4.32,4.50,0.78,4.65,0.47,255.13,1052.16,93.63
5,29.57,0.22,2.69,1.93,3.00,11.86,3.82,5.79,3.84,0.00,1.47,2.78,34.03,13.67,0.00,434.99,173.25
6,103.53,0.33,8.62,4.81,7.25,48.42,20.14,14.09,7.53,4.88,6.66,1.80,94.13,34.82,208.50,605.17,110.38
7,9.81,1.03,3.46,0.00,3.46,6.07,0.80,1.67,0.00,0.00,1.27,0.00,57.19,0.00,0.00,151.30,0.00
8,48.10,1.20,8.45,6.23,5.82,19.63,6.07,5.26,2.87,4.88,8.21,1.18,152.10,17.25,318.38,972.95,15.25
