Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,10.89,0.01,5.71,6.25,4.69,5.63,5.21,3.93,3.12,3.84,2.31,381.74,246.95,231.47
2,14.84,0.02,7.31,0.43,7.29,5.98,7.67,4.60,5.67,5.19,1.60,146.22,245.47,227.60
3,22.01,0.05,7.44,2.66,7.38,8.79,11.19,7.44,7.24,6.83,6.59,320.33,196.49,157.64
4,12.39,0.01,4.43,9.54,8.45,6.39,5.91,4.73,5.03,3.84,6.26,656.93,356.85,281.04
5,25.36,0.30,9.58,9.74,3.01,6.56,18.33,9.78,10.36,10.16,68.12,211.01,371.93,240.66
6,16.61,0.44,3.51,6.04,4.95,8.62,7.58,5.29,5.70,5.31,133.37,476.83,437.74,409.99
7,13.14,1.72,2.87,2.28,3.60,6.87,5.79,2.77,3.50,3.31,77.10,97.25,136.23,62.28
8,36.36,1.85,9.81,4.87,8.82,12.56,12.90,14.12,14.24,14.13,850.90,560.63,776.58,562.57
