Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,9.16,0.02,2.20,4.69,4.15,5.52,3.60,2.40,2.38,2.04,1.34,112.33,125.57,92.23
2,8.93,0.01,4.00,5.38,6.40,5.08,3.73,2.44,2.83,2.87,1.66,174.86,238.79,204.60
3,10.69,0.06,4.17,4.18,4.93,5.92,2.77,2.94,2.81,2.82,7.71,191.20,106.45,106.56
4,18.10,0.01,2.16,3.45,4.08,12.90,4.47,2.78,2.80,2.87,5.29,153.70,139.46,140.24
5,11.02,0.18,1.05,4.83,4.93,5.99,4.96,2.92,2.92,3.31,33.32,117.86,138.71,168.18
6,10.70,0.65,5.78,5.47,7.33,6.58,3.94,2.83,2.76,2.74,89.51,192.59,220.19,192.06
7,13.71,0.93,2.86,1.39,3.17,7.64,2.82,3.13,3.01,3.38,61.85,91.35,130.05,117.25
8,9.10,0.54,6.01,2.52,6.23,6.41,2.47,1.57,1.56,1.66,98.03,75.80,48.52,133.47
