Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,10.64,0.01,3.92,0.00,3.92,6.41,0.84,1.69,0.00,0.00,1.69,0.00,0.89,0.00,0.00,131.59,0.00
2,41.09,0.01,7.84,7.74,3.31,14.67,9.73,2.84,1.76,3.16,8.92,0.00,1.41,0.19,130.00,951.24,0.00
3,17.91,0.05,0.00,2.88,2.87,7.32,3.13,4.61,1.58,1.26,0.00,0.00,4.20,1.21,87.13,0.00,0.00
4,89.85,0.01,4.12,2.80,4.64,38.56,18.77,7.16,4.80,6.69,9.18,4.69,4.07,1.03,250.38,922.34,163.63
5,18.79,0.57,4.90,8.93,7.86,8.14,3.26,3.22,0.90,0.00,1.54,1.71,38.86,9.64,0.00,239.26,74.00
6,42.13,0.14,9.28,8.64,3.59,14.58,9.41,5.36,3.31,2.38,5.83,1.26,47.96,31.38,104.25,434.96,36.50
7,17.35,1.76,2.15,0.00,2.15,7.72,3.04,3.32,1.50,0.00,1.76,0.00,96.14,6.04,0.00,216.45,0.00
8,25.13,1.88,7.68,2.35,8.02,10.12,4.77,3.03,2.79,1.49,1.28,1.64,122.66,15.38,38.50,183.73,84.75
