Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,9.72,0.01,4.54,0.00,4.54,5.96,0.69,2.24,0.00,0.00,0.82,0.00,1.25,0.00,0.00,64.54,0.00
2,26.55,0.01,9.52,4.16,8.56,10.36,4.50,3.31,2.68,1.61,2.08,2.00,1.43,0.14,58.88,299.14,140.63
3,18.24,0.07,0.00,1.88,1.87,8.19,1.70,5.67,1.69,0.98,0.00,0.00,5.14,0.74,88.13,0.00,0.00
4,35.23,0.01,5.54,7.87,9.53,13.59,5.83,5.78,2.42,2.58,3.61,1.41,3.39,0.45,124.63,267.69,82.38
5,47.35,0.58,5.79,8.96,6.83,15.20,9.40,5.58,7.70,2.07,4.92,2.47,40.52,19.43,29.25,217.22,73.00
6,24.91,0.24,2.94,5.88,6.52,10.88,2.62,3.06,2.32,1.03,4.44,0.54,45.30,28.95,74.50,450.60,18.13
7,9.74,0.91,1.50,0.00,1.50,5.83,1.34,1.40,0.00,0.00,1.14,0.00,66.43,0.00,0.00,73.46,0.00
8,59.88,2.22,3.29,2.90,1.79,21.03,8.88,8.78,8.28,2.76,2.14,8.00,184.80,92.88,239.75,267.79,442.13
