Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,13.30,0.01,1.54,0.00,1.54,6.68,3.41,2.03,0.00,0.00,1.17,0.00,0.90,0.00,0.00,91.12,0.00
2,35.06,0.01,9.12,9.30,3.00,11.40,5.92,4.23,1.07,4.56,5.26,2.62,2.66,0.08,128.50,304.46,91.75
3,17.27,0.05,0.00,1.50,1.50,7.94,1.20,5.07,0.84,2.20,0.00,0.00,4.77,0.45,142.00,0.00,0.00
4,28.22,0.01,5.14,6.50,6.44,10.40,3.42,5.00,2.93,2.48,1.00,2.98,3.34,0.43,137.25,46.22,113.13
5,42.43,0.26,6.63,3.55,5.64,13.44,14.66,6.46,1.59,0.00,3.33,2.93,36.46,10.13,0.00,114.33,58.38
6,56.56,0.25,5.80,6.35,2.92,20.91,14.58,6.38,3.60,2.79,6.46,1.83,40.03,28.92,58.63,410.38,52.25
7,9.80,1.63,0.67,0.00,0.67,5.98,1.49,0.93,0.66,0.00,0.74,0.00,46.94,2.70,0.00,46.59,0.00
8,104.34,2.37,3.70,3.08,4.82,30.14,28.63,3.63,13.24,7.77,12.82,8.09,91.87,57.70,147.63,955.25,112.75
