Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,15.90,0.01,4.79,8.11,9.03,7.77,7.79,5.56,5.09,5.17,1.83,463.05,304.64,254.48
2,17.48,0.02,7.76,4.43,6.61,8.63,8.42,4.97,5.30,5.24,2.12,204.12,287.16,279.21
3,17.17,0.04,7.97,0.67,7.99,6.79,7.57,5.83,5.66,5.78,5.49,234.03,233.11,303.31
4,36.63,0.02,5.60,6.28,7.16,8.47,23.32,15.19,16.53,15.81,5.28,647.63,603.89,626.06
5,15.52,0.19,7.08,7.72,3.29,7.36,7.99,4.86,5.12,4.77,32.40,106.15,218.10,172.76
6,14.55,0.49,5.32,5.84,2.99,6.66,7.43,4.71,4.82,5.31,75.95,285.79,180.02,421.16
7,9.80,1.80,1.73,2.81,2.58,6.11,3.33,2.41,2.27,2.04,66.34,56.90,94.24,88.66
8,29.33,2.38,8.04,0.48,8.05,7.94,14.27,10.64,11.97,10.87,232.56,319.55,375.07,377.16
