Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,11.28,0.01,4.00,0.00,4.00,6.49,1.38,1.96,0.00,0.00,1.43,0.00,1.03,0.00,0.00,95.38,0.00
2,18.13,0.00,0.06,5.62,5.62,7.62,2.30,1.97,1.64,1.50,2.11,0.98,1.23,0.05,102.88,141.06,30.38
3,24.57,0.03,0.00,0.75,0.75,10.61,4.38,4.89,1.89,2.80,0.00,0.00,4.34,0.57,129.25,0.00,0.00
4,34.57,0.01,4.05,3.88,5.52,13.42,5.99,4.67,2.37,3.58,2.04,2.49,3.12,0.44,106.63,234.85,63.13
5,27.75,0.40,1.25,0.00,1.25,10.70,4.66,7.73,3.16,0.00,0.00,1.50,46.71,20.94,0.00,0.00,117.75
6,23.94,0.81,6.51,5.39,7.44,7.86,3.63,4.01,1.64,2.67,2.16,1.96,44.96,26.64,59.00,218.00,59.13
7,8.23,1.41,7.47,0.00,7.47,5.58,0.44,0.90,0.00,0.00,1.30,0.00,49.18,0.00,0.00,154.03,0.00
8,29.80,0.33,6.69,2.22,6.54,9.82,5.46,2.87,3.51,2.27,3.78,2.10,99.39,25.50,94.38,243.29,13.50
