Task,Timestamp,isGrabbing,ControllerPosition,ControllerRotation,ObjectPosition,ObjectRotation,DistanceMismatchX,DistanceMismatchY,DistanceMismatchZ,RotationMismatchX,RotationMismatchY,RotationMismatchZ
1,2023-06-02 15:01:00.155,False,(0.25;20.95;-83.70),(-56.37;-81.60;83.19),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.166,False,(0.26;20.95;-83.70),(-57.02;-81.23;81.11),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.178,False,(0.26;20.95;-83.70),(-57.45;-80.95;79.36),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.189,False,(0.26;20.95;-83.69),(-57.79;-80.65;77.61),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.199,False,(0.27;20.95;-83.69),(-58.04;-80.17;76.06),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.210,False,(0.27;20.95;-83.69),(-58.08;-79.24;74.15),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.221,False,(0.27;20.95;-83.69),(-57.94;-78.19;72.44),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.233,False,(0.27;20.95;-83.68),(-57.75;-77.19;70.82),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.244,False,(0.27;20.95;-83.68),(-57.68;-76.30;69.30),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.255,False,(0.28;20.95;-83.68),(-57.67;-75.57;68.45),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.266,False,(0.28;20.95;-83.67),(-57.78;-75.16;67.99),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.277,False,(0.28;20.95;-83.67),(-58.02;-75.08;68.10),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.290,False,(0.28;20.95;-83.67),(-58.27;-75.13;68.54),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.301,False,(0.28;20.95;-83.66),(-58.40;-75.25;69.36),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.311,False,(0.29;20.95;-83.66),(-58.43;-75.47;70.45),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.321,False,(0.29;20.95;-83.66),(-58.44;-75.52;71.22),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.332,False,(0.29;20.95;-83.65),(-58.54;-75.33;71.83),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.344,False,(0.29;20.95;-83.65),(-58.79;-74.76;71.76),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.355,False,(0.29;20.95;-83.65),(-59.55;-73.27;69.99),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.367,False,(0.30;20.95;-83.64),(-60.21;-72.19;68.70),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.377,False,(0.30;20.95;-83.64),(-61.35;-70.54;66.58),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.389,False,(0.30;20.95;-83.63),(-62.61;-69.03;64.80),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.399,False,(0.30;20.95;-83.63),(-63.70;-68.05;63.82),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.411,False,(0.31;20.95;-83.63),(-64.86;-67.32;63.22),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.433,False,(0.31;20.95;-83.63),(-65.78;-66.51;62.63),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.434,False,(0.31;20.95;-83.63),(-65.78;-66.51;62.63),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.442,False,(0.31;20.95;-83.62),(-66.86;-65.46;61.95),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.450,False,(0.31;20.95;-83.62),(-67.27;-64.71;61.19),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.460,False,(0.31;20.95;-83.62),(-67.34;-64.00;60.35),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.477,False,(0.32;20.95;-83.61),(-67.63;-62.00;58.06),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.487,False,(0.32;20.95;-83.61),(-67.51;-61.23;57.48),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.499,False,(0.32;20.95;-83.61),(-67.26;-60.90;57.54),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.509,False,(0.32;20.94;-83.61),(-66.98;-60.85;57.86),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.521,False,(0.32;20.94;-83.61),(-66.70;-60.77;58.09),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.532,False,(0.32;20.94;-83.61),(-66.39;-60.93;58.38),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.542,False,(0.32;20.94;-83.61),(-66.24;-60.94;58.31),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.554,False,(0.32;20.94;-83.61),(-66.16;-60.94;58.09),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.564,False,(0.32;20.94;-83.61),(-66.12;-60.91;57.90),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.576,False,(0.32;20.94;-83.61),(-66.28;-60.83;57.52),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.588,False,(0.32;20.94;-83.61),(-66.38;-60.66;57.23),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.598,False,(0.32;20.93;-83.61),(-66.53;-60.37;56.96),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.609,False,(0.32;20.93;-83.61),(-66.85;-59.91;56.76),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.621,False,(0.32;20.93;-83.61),(-67.24;-59.13;56.44),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.631,False,(0.32;20.93;-83.61),(-67.64;-57.75;55.78),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-02 15:01:00.643,False,(0.32;20.93;-83.61),(-68.02;-55.60;54.55),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
