Task,Timestamp,isGrabbing,ControllerPosition,ControllerRotation,ObjectPosition,ObjectRotation,DistanceMismatchX,DistanceMismatchY,DistanceMismatchZ,RotationMismatchX,RotationMismatchY,RotationMismatchZ
1,2023-06-01 18:46:47.944,False,(0.14;21.13;-83.66),(-35.39;-38.27;41.84),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.955,False,(0.15;21.14;-83.66),(-36.08;-38.57;44.06),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.966,False,(0.15;21.15;-83.66),(-36.50;-39.14;46.93),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.977,False,(0.15;21.15;-83.66),(-36.56;-39.83;50.08),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.988,False,(0.15;21.16;-83.66),(-36.62;-40.43;52.81),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:47.999,False,(0.16;21.17;-83.65),(-36.19;-41.10;55.71),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.011,False,(0.16;21.17;-83.65),(-35.68;-41.47;57.44),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.021,False,(0.16;21.18;-83.64),(-34.99;-41.79;59.20),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.032,False,(0.16;21.18;-83.64),(-34.45;-41.99;60.63),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.043,False,(0.16;21.18;-83.63),(-33.53;-42.06;61.93),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.054,False,(0.16;21.19;-83.63),(-32.67;-42.18;63.59),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.066,False,(0.16;21.19;-83.62),(-31.40;-42.23;65.24),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 18:46:48.077,False,(0.16;21.18;-83.61),(-29.78;-42.27;66.66),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
