Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,10.10,0.01,3.69,2.69,2.53,5.14,4.44,2.98,3.06,2.99,1.25,152.62,157.24,149.42
2,8.86,0.01,0.95,5.53,5.53,5.08,3.16,2.41,2.72,2.40,1.41,113.13,117.81,181.08
3,12.60,0.03,4.04,8.02,8.90,6.69,5.07,3.74,3.29,3.14,4.85,178.48,91.85,133.44
4,13.26,0.01,8.26,4.33,8.72,7.14,4.41,3.77,4.08,3.59,4.16,343.59,239.66,165.47
5,16.06,0.22,8.50,9.13,3.97,6.74,8.10,5.24,5.21,4.70,38.43,109.83,184.84,160.91
6,11.71,0.22,0.47,0.27,0.48,5.23,5.66,3.99,3.93,4.04,71.42,218.12,293.75,179.84
7,10.94,1.30,0.95,0.27,0.91,5.34,3.26,2.89,3.04,3.03,81.01,96.27,160.43,90.85
8,14.46,1.40,2.95,0.67,2.90,7.59,4.13,4.13,3.99,3.81,196.19,344.26,341.33,308.80
