Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,10.98,0.02,6.57,9.62,7.13,5.62,5.17,3.31,3.56,3.49,1.32,154.06,191.55,162.80
2,14.77,0.01,8.75,3.84,9.07,7.11,7.49,4.58,4.61,4.77,1.91,252.74,328.70,190.50
3,10.79,0.07,2.75,2.04,3.41,5.51,4.23,3.37,3.29,2.81,4.77,151.46,115.24,98.64
4,19.99,0.02,9.59,1.53,9.64,7.94,11.12,6.54,6.18,6.42,3.99,199.17,137.77,206.45
5,21.17,0.31,3.36,3.95,4.18,7.61,12.50,8.03,8.07,7.70,46.92,311.25,393.16,267.03
6,14.22,0.42,7.68,7.67,0.34,7.42,5.87,4.40,4.60,4.53,70.88,233.53,317.03,272.09
7,20.62,1.51,6.69,5.23,8.11,7.59,9.91,6.41,7.14,6.90,253.50,174.68,245.19,170.38
8,17.28,1.94,6.01,3.32,5.26,8.24,5.92,5.08,6.46,4.89,176.80,208.84,358.70,193.50
