Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,15.89,0.00,1.69,0.00,1.69,6.40,3.74,4.17,0.00,0.00,1.57,0.00,0.86,0.00,0.00,140.09,0.00
2,102.15,0.01,2.87,4.18,4.25,35.39,20.41,8.51,4.24,14.56,6.12,12.91,1.42,0.07,293.25,412.96,85.63
3,48.99,0.05,4.96,1.98,4.95,21.43,4.73,10.28,3.09,4.08,3.11,2.26,6.30,0.42,106.88,227.89,19.50
4,59.43,0.01,4.55,8.82,9.37,20.78,7.73,12.48,6.01,2.69,6.83,2.90,3.20,0.48,53.25,568.52,116.75
5,23.48,0.36,2.50,0.00,2.50,7.84,2.43,7.06,2.47,0.00,0.00,3.68,26.72,10.30,0.00,0.00,154.25
6,49.75,0.63,7.77,7.26,3.62,16.09,4.19,11.99,4.67,3.30,4.11,5.40,52.02,29.72,233.38,231.90,491.38
7,50.20,0.97,4.50,5.37,4.51,14.11,6.17,7.39,1.17,4.83,7.06,9.47,62.57,0.06,81.13,363.21,219.38
8,71.70,2.25,6.05,3.83,5.72,23.59,12.47,12.59,3.74,9.61,3.08,6.39,179.80,7.41,299.00,187.34,151.00
