Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,14.02,0.01,2.23,1.05,2.31,7.02,6.83,5.26,4.83,4.56,2.12,461.57,287.60,257.81
2,16.27,0.01,6.46,5.94,8.30,6.60,8.28,4.88,5.69,5.43,1.37,129.80,220.01,187.16
3,15.72,0.06,7.69,4.52,8.92,7.26,7.71,4.66,4.67,4.10,12.56,193.22,192.66,145.60
4,16.22,0.02,1.63,5.65,5.55,8.18,7.83,5.74,5.09,4.10,5.03,460.62,293.47,171.22
5,20.43,0.42,9.27,9.49,2.50,6.94,12.64,6.73,7.40,6.86,31.79,153.10,218.33,170.77
6,18.48,0.92,0.76,3.53,3.46,7.88,10.13,7.01,7.08,6.88,96.37,442.89,514.81,325.21
7,11.13,1.09,2.37,1.77,2.10,5.76,4.98,2.83,3.54,3.21,81.71,119.58,174.13,98.20
8,16.53,2.28,2.81,2.73,0.91,5.96,7.67,5.80,5.87,5.80,213.86,222.81,202.96,297.28
