Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,18.74,0.00,0.91,0.00,0.91,8.04,3.67,5.63,0.00,0.00,1.39,0.00,0.99,0.00,0.00,60.91,0.00
2,36.55,0.01,2.25,1.17,1.98,15.83,5.33,5.23,2.33,3.83,2.56,1.41,1.37,0.10,105.50,120.70,91.25
3,32.68,0.03,0.00,2.37,2.37,11.53,5.66,9.79,3.98,1.72,0.00,0.00,4.94,0.95,87.63,0.00,0.00
4,44.97,0.02,5.39,6.54,6.30,19.24,9.98,6.06,3.19,4.21,2.28,0.00,3.19,0.45,96.13,260.29,0.00
5,23.99,0.15,2.12,0.00,2.13,8.33,3.08,5.94,4.49,0.00,0.00,2.13,39.36,12.55,0.00,0.00,198.38
6,45.18,0.60,0.80,5.68,5.71,15.91,7.70,5.74,6.50,2.88,4.99,1.46,38.85,30.58,85.50,296.89,41.63
7,30.78,1.30,6.64,0.00,6.64,12.71,9.73,3.66,1.73,0.00,2.83,0.10,52.09,2.41,0.00,308.36,0.00
8,33.55,1.40,1.75,1.86,0.62,12.54,5.10,5.02,2.89,2.96,2.72,2.30,128.20,18.06,22.88,220.70,90.63
