Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,34.22,0.02,5.44,2.13,5.81,18.99,14.86,10.42,9.69,11.66,3.36,967.96,512.14,1241.62
2,13.29,0.00,1.14,2.14,2.19,6.41,6.47,4.23,3.78,4.09,1.52,139.95,113.92,232.30
3,14.57,0.07,0.10,4.44,4.44,7.28,6.44,3.93,3.33,3.76,4.17,152.58,84.98,136.07
4,16.73,0.01,1.67,3.26,3.09,7.91,8.26,5.43,5.22,4.82,4.60,271.74,175.92,218.55
5,17.67,0.19,8.66,8.66,0.23,5.66,10.99,6.06,5.93,6.64,29.52,114.06,156.08,205.94
6,18.62,0.89,0.89,1.28,0.93,8.53,8.91,5.52,6.17,5.93,53.60,240.10,311.55,254.51
7,9.94,0.92,3.26,1.33,3.43,5.14,3.10,2.46,2.53,2.58,58.45,49.27,113.39,99.75
8,24.64,0.61,0.76,0.82,0.78,10.00,12.36,7.83,8.23,8.78,397.14,262.74,297.53,431.57
