Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,16.80,0.01,8.28,7.95,2.32,7.56,1.53,3.27,0.00,1.86,0.87,1.71,0.95,0.00,34.50,57.38,132.38
2,24.90,0.02,3.00,2.82,1.31,10.21,2.83,5.37,1.13,1.98,2.66,0.72,1.40,0.05,66.13,159.33,91.63
3,13.41,0.07,0.00,3.12,3.12,6.93,1.01,2.86,0.68,1.92,0.00,0.00,3.68,0.40,106.13,0.00,0.00
4,23.24,0.01,6.80,5.30,5.51,12.12,3.14,4.00,1.87,1.82,0.27,0.00,3.21,0.42,82.63,47.04,0.00
5,33.78,0.42,8.61,2.49,8.25,13.02,4.98,5.44,3.63,0.00,5.16,1.54,34.22,16.96,0.00,286.27,51.75
6,39.75,0.86,7.14,7.25,3.35,14.91,6.59,3.00,2.44,0.93,5.59,6.28,41.67,26.08,45.63,486.08,456.00
7,17.92,1.22,3.97,2.12,4.00,7.74,1.40,2.19,0.00,1.49,3.04,2.04,63.69,0.00,42.13,414.06,54.50
8,33.49,1.30,2.88,4.88,5.62,11.81,5.41,8.87,5.59,1.13,0.00,0.67,202.59,30.44,30.50,0.00,95.63
