Task,Timestamp,isGrabbing,ControllerPosition,ControllerRotation,ObjectPosition,ObjectRotation,DistanceMismatchX,DistanceMismatchY,DistanceMismatchZ,RotationMismatchX,RotationMismatchY,RotationMismatchZ
1,2023-06-06 20:37:27.615,False,(0.01;20.76;-83.47),(-47.96;-19.60;39.77),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.627,False,(0.01;20.76;-83.47),(-48.15;-18.97;39.56),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.638,False,(0.02;20.77;-83.47),(-48.35;-18.38;39.26),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.649,False,(0.02;20.77;-83.47),(-48.53;-17.76;39.00),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.660,False,(0.03;20.77;-83.47),(-48.71;-17.26;38.71),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.672,False,(0.03;20.77;-83.47),(-48.93;-16.65;38.41),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.683,False,(0.03;20.77;-83.47),(-49.17;-16.09;38.22),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.694,False,(0.04;20.77;-83.48),(-49.40;-15.55;38.18),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.706,False,(0.04;20.77;-83.48),(-49.58;-15.00;38.06),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.716,False,(0.05;20.77;-83.48),(-49.78;-14.46;38.01),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.727,False,(0.05;20.77;-83.48),(-49.96;-13.93;37.92),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.738,False,(0.05;20.77;-83.48),(-50.09;-13.48;37.84),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.749,False,(0.05;20.77;-83.48),(-50.16;-13.07;37.73),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.761,False,(0.06;20.77;-83.48),(-50.29;-12.68;37.66),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.771,False,(0.06;20.77;-83.48),(-50.35;-12.41;37.65),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.783,False,(0.06;20.77;-83.48),(-50.45;-12.00;37.58),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.793,False,(0.07;20.77;-83.48),(-50.48;-11.67;37.48),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.804,False,(0.07;20.78;-83.48),(-50.56;-11.21;37.27),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.816,False,(0.07;20.78;-83.48),(-50.66;-10.77;37.04),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.828,False,(0.08;20.78;-83.48),(-50.82;-10.37;36.82),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.840,False,(0.08;20.78;-83.48),(-50.97;-10.05;36.65),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.849,False,(0.08;20.78;-83.48),(-51.17;-9.73;36.54),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.860,False,(0.08;20.78;-83.49),(-51.32;-9.49;36.56),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.871,False,(0.08;20.78;-83.49),(-51.43;-9.31;36.68),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.883,False,(0.09;20.78;-83.49),(-51.49;-9.20;36.84),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.894,False,(0.09;20.78;-83.49),(-51.49;-9.21;37.14),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.906,False,(0.09;20.78;-83.49),(-51.50;-9.16;37.31),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.915,False,(0.09;20.78;-83.49),(-51.44;-9.23;37.53),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.927,False,(0.09;20.78;-83.49),(-51.36;-9.24;37.70),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.939,False,(0.09;20.78;-83.49),(-51.24;-9.23;37.77),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.948,False,(0.10;20.78;-83.49),(-51.16;-9.00;37.55),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.960,False,(0.10;20.78;-83.49),(-51.12;-8.72;37.27),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.971,False,(0.10;20.78;-83.49),(-51.07;-8.37;36.89),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.983,False,(0.10;20.78;-83.49),(-51.02;-8.13;36.65),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:27.993,False,(0.10;20.78;-83.49),(-50.95;-7.86;36.41),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.005,False,(0.10;20.78;-83.49),(-50.87;-7.69;36.33),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.016,False,(0.10;20.78;-83.49),(-50.79;-7.65;36.39),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.026,False,(0.10;20.78;-83.49),(-50.69;-7.63;36.50),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.038,False,(0.10;20.78;-83.49),(-50.58;-7.62;36.57),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.049,False,(0.10;20.78;-83.49),(-50.45;-7.53;36.52),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.060,False,(0.10;20.78;-83.49),(-50.34;-7.45;36.46),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.071,False,(0.10;20.78;-83.49),(-50.18;-7.39;36.35),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.083,False,(0.10;20.78;-83.48),(-50.01;-7.43;36.33),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.093,False,(0.10;20.78;-83.48),(-49.83;-7.53;36.31),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.105,False,(0.10;20.78;-83.48),(-49.62;-7.75;36.33),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.115,False,(0.10;20.78;-83.48),(-49.42;-8.05;36.35),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.128,False,(0.10;20.78;-83.48),(-49.30;-8.30;36.33),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.138,False,(0.10;20.77;-83.48),(-49.13;-8.62;36.34),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.149,False,(0.09;20.77;-83.48),(-48.95;-8.98;36.35),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.160,False,(0.09;20.77;-83.48),(-48.79;-9.26;36.35),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.172,False,(0.09;20.77;-83.48),(-48.61;-9.57;36.35),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.183,False,(0.09;20.77;-83.48),(-48.45;-9.84;36.34),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 20:37:28.194,False,(0.09;20.77;-83.48),(-48.36;-10.06;36.31),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
