Task,Timestamp,isGrabbing,ControllerPosition,ControllerRotation,ObjectPosition,ObjectRotation,DistanceMismatchX,DistanceMismatchY,DistanceMismatchZ,RotationMismatchX,RotationMismatchY,RotationMismatchZ
1,2023-06-01 20:00:32.343,False,(0.03;20.90;-83.71),(-35.80;-21.06;-12.32),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 20:00:32.352,False,(0.03;20.90;-83.71),(-35.87;-21.08;-12.10),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 20:00:32.364,False,(0.03;20.90;-83.71),(-35.94;-21.04;-11.93),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 20:00:32.374,False,(0.03;20.90;-83.71),(-35.99;-20.99;-11.78),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 20:00:32.385,False,(0.03;20.90;-83.71),(-35.97;-20.92;-11.70),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 20:00:32.397,False,(0.03;20.90;-83.71),(-35.93;-20.81;-11.78),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 20:00:32.408,False,(0.03;20.90;-83.71),(-35.93;-20.73;-11.77),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 20:00:32.419,False,(0.03;20.90;-83.71),(-35.98;-20.62;-11.77),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 20:00:32.430,False,(0.03;20.90;-83.70),(-36.07;-20.51;-11.70),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 20:00:32.441,False,(0.03;20.90;-83.70),(-36.15;-20.43;-11.55),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 20:00:32.453,False,(0.03;20.90;-83.70),(-36.25;-20.33;-11.28),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 20:00:32.464,False,(0.03;20.90;-83.70),(-36.36;-20.28;-10.95),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-01 20:00:32.475,False,(0.03;20.90;-83.70),(-36.54;-20.25;-10.46),(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
