Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,8.02,0.01,8.47,7.18,8.50,5.54,2.44,1.46,1.90,1.87,1.17,76.16,137.34,118.34
2,10.54,0.01,1.59,3.99,4.26,6.24,4.13,2.82,2.58,2.77,2.37,203.60,85.30,186.35
3,9.49,0.06,2.62,0.88,2.67,5.74,3.18,2.27,2.24,2.77,3.79,155.36,81.40,189.60
4,9.48,0.01,1.68,1.91,2.41,6.73,2.52,1.98,1.63,1.66,5.37,106.16,91.10,132.30
5,26.61,0.54,0.12,3.26,3.26,8.82,16.46,9.00,9.42,10.32,88.26,230.59,356.05,510.55
6,11.52,0.80,4.59,4.60,1.54,6.80,4.39,2.69,2.84,3.14,57.61,125.94,158.36,266.38
7,8.72,1.33,2.83,1.44,2.66,5.58,2.92,1.90,2.10,2.19,109.88,71.83,138.98,149.08
8,13.43,1.78,1.17,1.52,1.70,6.67,5.22,3.62,3.90,4.39,189.41,90.23,185.61,362.76
