Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,12.79,0.01,2.40,0.00,2.40,6.37,1.17,3.60,0.00,0.00,1.64,0.00,0.96,0.00,0.00,123.02,0.00
2,34.10,0.01,6.54,6.11,8.95,13.43,3.07,4.68,1.61,4.30,4.92,2.08,1.37,0.09,96.63,297.01,45.25
3,21.92,0.03,0.00,2.87,2.87,8.41,2.54,5.33,3.27,2.36,0.00,0.00,3.40,1.08,113.63,0.00,0.00
4,52.69,0.01,5.81,2.92,5.05,23.94,7.12,5.74,3.26,5.36,5.97,1.29,3.05,0.42,130.50,245.46,9.75
5,29.61,0.53,8.12,9.00,5.50,11.50,4.71,7.37,2.36,0.24,2.00,1.41,30.21,12.54,9.00,113.73,88.50
6,31.38,0.28,8.41,7.20,7.38,13.00,3.94,4.29,2.59,3.69,3.87,0.00,42.06,26.99,142.75,323.59,0.00
7,13.33,1.12,4.61,0.00,4.61,7.59,2.64,2.09,0.00,0.00,1.00,0.00,51.32,0.00,0.00,82.61,0.00
8,34.43,1.92,1.68,4.28,4.47,12.50,4.27,3.69,1.91,5.59,3.86,2.60,86.78,10.67,302.75,348.50,85.63
