Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,15.05,0.02,2.66,2.24,2.05,7.09,7.74,5.80,5.12,5.21,1.40,390.37,207.82,303.78
2,7.48,0.01,8.24,6.13,9.74,4.58,2.61,1.27,1.78,1.96,1.38,58.45,122.65,127.40
3,9.86,0.07,6.86,3.17,7.42,6.20,3.38,2.42,2.40,2.29,3.78,135.78,101.02,90.12
4,13.30,0.01,6.88,4.94,7.64,6.76,5.90,3.90,3.78,3.76,4.14,252.94,161.62,205.61
5,17.94,0.19,7.28,7.75,5.31,6.78,9.81,5.73,6.17,5.96,34.62,138.76,191.44,186.70
6,20.97,0.73,3.66,1.68,3.27,8.68,11.03,7.44,7.70,7.23,81.26,463.86,419.91,378.04
7,11.23,0.59,4.40,0.52,4.41,6.17,2.23,2.96,3.24,2.78,53.96,103.55,156.54,96.06
8,9.58,0.51,9.28,4.09,9.83,6.44,2.76,1.97,1.92,2.17,99.56,115.43,120.77,182.13
