Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,33.74,0.02,4.99,3.30,4.15,13.88,5.18,4.86,3.87,2.16,1.44,2.36,1.47,0.18,55.75,74.35,107.88
2,61.18,0.01,2.20,4.33,3.93,22.13,14.29,7.28,2.18,3.37,3.81,8.11,1.74,0.12,135.75,159.96,396.88
3,19.26,0.03,0.00,3.37,3.37,9.47,2.60,2.79,2.04,2.36,0.00,0.00,3.76,0.78,93.38,0.00,0.00
4,30.94,0.01,0.68,3.35,3.41,12.22,4.57,4.04,2.67,1.98,4.32,1.12,3.06,0.42,91.75,178.64,11.13
5,45.04,0.40,4.31,9.87,8.88,17.79,6.82,8.84,3.26,1.43,0.00,6.89,64.26,19.67,32.13,0.00,263.75
6,62.42,0.44,3.80,3.79,0.25,24.92,12.56,7.62,5.58,3.68,5.88,2.18,55.83,33.39,95.13,419.60,46.25
7,11.42,0.42,1.42,0.00,1.42,6.72,0.58,2.11,0.00,0.00,2.00,0.00,57.07,0.00,0.00,133.19,0.00
8,34.54,1.35,0.52,0.47,0.70,14.99,4.94,3.67,5.11,3.07,0.00,2.71,106.06,34.01,62.25,0.00,116.25
