Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,10.04,0.01,5.52,5.11,2.95,5.59,4.38,2.92,2.79,2.78,2.35,167.04,139.06,142.63
2,11.33,0.02,3.35,8.70,8.65,6.08,4.87,3.37,3.57,3.23,1.95,105.81,185.31,239.81
3,14.18,0.04,7.27,4.45,7.93,5.49,5.62,5.98,5.76,5.92,6.13,364.00,285.91,385.26
4,10.20,0.02,1.46,1.04,1.34,5.96,3.06,2.23,2.21,2.33,5.19,145.15,148.03,192.52
5,18.72,0.39,0.28,6.60,6.59,6.47,12.09,6.36,7.29,7.67,39.17,173.93,346.82,379.84
6,15.50,0.97,3.17,4.19,4.31,6.98,8.13,5.36,5.51,5.93,321.50,335.59,388.90,485.88
7,8.19,1.79,4.61,2.74,3.79,5.20,2.89,1.49,2.09,2.07,55.58,45.81,102.57,144.75
8,16.55,1.51,3.36,2.46,2.68,6.56,8.48,7.07,6.67,6.78,429.98,503.96,501.88,455.81
