Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,15.28,0.00,0.69,0.00,0.69,7.73,1.79,3.98,0.00,0.00,1.78,0.00,1.06,0.00,0.00,63.20,0.00
2,37.88,0.00,3.91,7.64,7.36,15.21,6.02,2.59,1.94,3.34,6.37,2.39,1.36,0.17,89.38,271.42,111.75
3,19.04,0.07,0.00,6.50,6.50,10.12,0.96,3.16,1.51,3.29,0.00,0.00,3.66,0.49,83.50,0.00,0.00
4,55.54,0.02,5.12,7.23,6.99,20.38,12.01,4.58,5.07,2.70,7.17,3.62,3.20,0.42,108.75,432.35,84.88
5,33.47,0.40,0.54,0.41,0.61,12.36,4.53,8.16,5.21,0.00,1.12,2.09,30.75,19.78,0.00,60.21,60.50
6,46.82,0.62,2.03,8.74,8.97,21.98,7.68,5.77,3.34,2.49,3.02,2.53,48.19,27.24,53.88,248.63,119.75
7,15.91,1.47,1.68,0.00,1.68,7.26,2.30,4.70,0.00,0.00,1.64,0.00,68.79,0.00,0.00,58.32,0.00
8,52.62,1.29,1.58,5.51,5.44,18.38,14.49,7.29,3.33,1.42,6.64,1.06,110.95,9.56,17.63,336.76,84.63
