Task,Timestamp,State,TouchCount,TouchPosition1,TouchPosition2,ObjectPosition,ObjectRotation,DistanceMismatchX,DistanceMismatchY,DistanceMismatchZ,RotationMismatchX,RotationMismatchY,RotationMismatchZ
1,2023-06-06 16:49:39.393,Checking,1,(1134.00;469.00),NA,(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.405,Checking,1,(1117.00;470.00),NA,(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.416,Checking,1,(1101.00;471.00),NA,(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.426,Checking,1,(1101.00;471.00),NA,(0.00;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.438,TranslationXZ,1,(1087.00;471.00),NA,(-0.04;20.62;-83.12),(0.00;90.00;0.00),0.80,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.448,TranslationXZ,1,(1087.00;471.00),NA,(-0.04;20.62;-83.12),(0.00;90.00;0.00),0.76,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.461,TranslationXZ,1,(1073.00;470.00),NA,(-0.05;20.62;-83.12),(0.00;90.00;0.00),0.76,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.472,TranslationXZ,1,(1073.00;470.00),NA,(-0.05;20.62;-83.12),(0.00;90.00;0.00),0.75,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.481,TranslationXZ,1,(1063.00;470.00),NA,(-0.05;20.62;-83.12),(0.00;90.00;0.00),0.75,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.493,TranslationXZ,1,(1063.00;470.00),NA,(-0.05;20.62;-83.12),(0.00;90.00;0.00),0.75,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.505,TranslationXZ,1,(1063.00;470.00),NA,(-0.05;20.62;-83.12),(0.00;90.00;0.00),0.75,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.516,TranslationXZ,1,(1063.00;470.00),NA,(-0.05;20.62;-83.12),(0.00;90.00;0.00),0.75,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.526,TranslationXZ,1,(1063.00;470.00),NA,(-0.05;20.62;-83.12),(0.00;90.00;0.00),0.75,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.538,TranslationXZ,1,(1052.00;470.00),NA,(-0.05;20.62;-83.12),(0.00;90.00;0.00),0.75,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.550,TranslationXZ,1,(1052.00;470.00),NA,(-0.05;20.62;-83.12),(0.00;90.00;0.00),0.75,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.559,TranslationXZ,1,(1052.00;470.00),NA,(-0.05;20.62;-83.12),(0.00;90.00;0.00),0.75,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.571,TranslationXZ,1,(1052.00;470.00),NA,(-0.05;20.62;-83.12),(0.00;90.00;0.00),0.75,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.582,TranslationXZ,1,(1045.00;469.00),NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.75,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.593,TranslationXZ,1,(1045.00;469.00),NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.604,TranslationXZ,1,(1045.00;469.00),NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.616,TranslationXZ,1,(1045.00;469.00),NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.631,TranslationXZ,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.632,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.649,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.659,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.669,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.682,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.693,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.705,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.715,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.726,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.737,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.749,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.758,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.770,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.782,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.792,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.804,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.815,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.826,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.836,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.848,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.859,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.871,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.881,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.892,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.903,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.915,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.927,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.937,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.948,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.959,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.969,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.982,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
1,2023-06-06 16:49:39.992,Idle,0,NA,NA,(-0.06;20.62;-83.12),(0.00;90.00;0.00),0.74,0.00,0.20,60.00,0.00,60.00
