Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,19.25,0.01,4.46,4.77,4.67,7.14,11.22,6.32,6.86,6.54,1.24,157.51,378.12,138.37
2,13.42,0.00,1.37,1.94,1.58,5.46,7.26,4.52,5.13,5.10,1.95,164.13,177.92,273.30
3,18.58,0.05,0.72,8.37,8.39,8.07,9.26,6.33,6.83,5.89,4.31,258.18,342.90,205.70
4,21.20,0.01,7.52,2.66,7.24,8.26,12.02,6.93,6.52,6.56,4.15,220.78,123.77,167.94
5,13.12,0.31,4.87,7.50,5.74,6.61,5.67,3.38,4.38,3.83,30.76,131.38,189.94,155.97
6,17.06,1.00,1.38,2.95,2.93,8.24,7.90,5.49,5.96,5.79,82.12,356.06,409.77,316.96
7,12.48,1.22,2.68,3.01,3.64,6.51,2.46,2.96,3.58,3.27,49.90,88.33,187.04,93.52
8,17.03,1.12,3.07,1.68,2.76,7.57,6.26,4.93,6.08,5.48,112.88,124.56,255.38,191.55
