Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,11.86,0.02,2.74,0.00,2.74,6.57,1.47,2.19,0.00,0.00,1.63,0.00,0.88,0.00,0.00,102.04,0.00
2,51.69,0.01,7.70,5.68,8.75,24.42,6.49,5.37,5.79,4.87,1.66,3.09,1.53,0.34,135.25,264.44,115.38
3,17.66,0.04,0.00,0.75,0.75,8.38,1.56,2.28,3.08,2.37,0.00,0.00,3.30,0.42,113.75,0.00,0.00
4,25.88,0.02,1.43,4.84,5.04,11.73,4.01,2.84,2.22,2.10,1.78,1.18,3.03,0.43,109.88,115.66,12.38
5,19.06,0.51,7.87,0.00,7.87,9.78,2.22,3.50,2.23,0.00,0.00,1.32,24.88,10.77,0.00,0.00,52.13
6,66.63,0.82,1.69,4.24,3.91,28.33,11.13,5.12,11.34,3.53,4.08,3.08,44.26,44.67,69.63,320.97,70.88
7,14.04,1.46,3.36,0.00,3.36,7.12,1.90,2.51,0.29,0.00,2.21,0.00,58.26,0.00,0.00,112.75,0.00
8,26.72,1.96,2.54,1.78,2.36,13.73,4.23,2.93,2.30,1.23,0.00,2.27,99.30,17.59,43.88,0.00,113.63
