Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,10.40,0.00,0.50,0.00,0.50,6.28,0.62,2.32,0.00,0.00,1.17,0.00,1.09,0.00,0.00,103.44,0.00
2,25.15,0.01,0.87,7.12,7.18,11.41,3.77,3.42,1.60,0.00,2.57,2.38,1.33,0.12,0.00,172.59,104.13
3,16.52,0.07,0.00,5.75,5.75,8.84,1.87,1.82,1.56,2.42,0.00,0.00,3.37,0.50,84.25,0.00,0.00
4,30.04,0.01,3.03,2.33,1.95,14.63,3.42,4.18,2.94,2.66,1.32,0.88,3.04,0.42,164.25,82.90,10.38
5,17.90,0.32,3.87,0.00,3.87,9.33,1.68,3.52,2.22,0.00,0.00,1.14,48.86,16.06,0.00,0.00,93.13
6,37.17,0.28,7.96,7.74,9.12,18.60,4.93,2.94,2.69,3.76,2.88,1.37,32.06,31.03,64.50,220.40,63.50
7,10.27,1.08,4.84,0.00,4.84,6.33,1.12,1.04,0.00,0.00,1.76,0.00,52.73,0.00,0.00,226.17,0.00
8,19.02,1.64,1.05,1.50,1.50,9.34,1.99,3.08,2.07,0.77,0.00,1.77,125.96,17.58,29.25,0.00,91.50
