Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,12.28,0.01,2.43,1.22,2.27,6.92,5.07,2.99,3.40,3.12,1.71,107.84,295.93,149.29
2,16.27,0.01,8.75,2.45,8.44,8.11,7.61,5.28,4.70,5.00,7.33,337.06,228.87,259.79
3,11.50,0.06,5.46,7.16,7.83,7.66,3.43,2.69,2.10,2.50,5.82,226.90,116.75,131.90
4,17.50,0.01,3.16,1.79,3.61,9.32,7.77,5.28,5.56,5.08,6.81,395.30,318.48,239.58
5,17.41,0.38,1.90,2.05,1.55,7.83,9.20,5.54,5.67,5.32,60.83,216.04,296.98,223.29
6,20.09,0.74,0.81,2.82,2.74,8.40,10.79,6.46,7.06,6.34,79.74,275.55,463.50,223.40
7,12.10,1.61,0.24,2.89,2.88,6.38,4.59,3.04,3.80,3.21,61.48,87.52,221.67,92.57
8,14.05,1.47,5.63,5.41,2.42,7.07,5.51,4.33,4.44,4.21,185.57,222.98,281.73,244.34
