Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,28.94,0.01,8.22,0.00,8.22,13.16,8.63,3.02,1.69,0.00,2.43,0.00,0.97,0.12,0.00,178.68,0.00
2,49.04,0.01,9.19,5.93,8.79,16.30,9.89,7.76,2.81,1.03,7.66,3.58,2.49,0.10,103.75,532.77,117.88
3,112.08,0.07,2.23,6.77,6.96,41.41,22.13,21.62,6.41,5.79,7.32,7.38,7.56,1.63,385.13,1577.72,360.25
4,47.99,0.01,3.24,6.46,6.82,18.54,8.73,6.61,4.00,1.71,6.70,1.69,3.47,0.48,100.63,346.06,35.63
5,17.01,0.08,1.75,0.00,1.75,7.44,1.90,3.73,1.70,0.00,0.00,2.22,27.96,12.04,0.00,0.00,58.25
6,37.65,0.11,2.91,0.65,2.84,12.81,5.26,6.03,4.07,4.46,5.02,0.00,35.94,31.96,109.50,336.29,0.00
7,22.63,0.57,3.30,0.00,3.30,11.16,4.29,2.09,0.06,0.00,5.02,0.00,51.94,0.43,0.00,813.86,0.00
8,42.45,1.36,3.64,2.78,2.36,16.29,6.03,4.02,1.02,0.90,9.34,4.83,94.44,9.30,31.25,682.02,398.38
