Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentChecking,TimeSpentTranslationXZ,TimeSpentTranslationY,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslationXZ,TotalTranslationY,TotalRotationX,TotalRotationY,TotalRotationZ
1,14.34,0.01,0.48,0.00,0.48,7.38,1.94,3.56,0.00,0.00,1.44,0.00,0.88,0.00,0.00,60.06,0.00
2,27.83,0.02,7.29,4.62,8.63,13.39,2.41,3.89,2.81,0.00,2.03,3.29,1.23,0.11,0.00,77.29,164.38
3,16.30,0.06,0.00,6.37,6.37,9.81,2.14,2.28,0.38,1.68,0.00,0.00,3.25,0.33,96.38,0.00,0.00
4,62.37,0.01,7.82,6.48,7.51,28.84,8.39,7.02,7.62,3.16,4.63,2.70,3.06,0.43,140.50,290.34,96.75
5,42.10,0.37,1.37,0.00,1.37,13.36,10.32,12.17,4.86,0.00,0.00,1.39,57.03,28.31,0.00,0.00,86.13
6,50.47,0.87,4.87,6.50,6.31,20.58,10.56,10.78,3.78,0.00,2.13,2.63,47.50,26.50,0.00,210.89,95.00
7,14.83,0.54,1.42,0.00,1.42,6.76,2.79,3.91,0.39,0.00,0.98,0.00,64.07,4.66,0.00,43.58,0.00
8,26.76,1.62,8.55,2.37,8.25,11.01,5.43,4.54,0.62,0.83,2.84,1.46,96.85,9.02,39.75,272.32,128.75
