Task,Time,DistanceMismatch,RotationMismatchX,RotationMismatchY,RotationMismatchZ,TimeSpentIdle,TimeSpentTranslation,TimeSpentRotationX,TimeSpentRotationY,TimeSpentRotationZ,TotalTranslation,TotalRotationX,TotalRotationY,TotalRotationZ
1,16.24,0.01,1.99,2.91,2.16,9.70,6.11,3.14,3.73,3.71,1.17,104.09,135.85,138.16
2,16.88,0.01,3.40,1.77,3.82,8.77,7.58,4.17,4.72,5.11,1.62,188.97,233.25,185.16
3,36.06,0.03,2.26,9.37,9.50,12.99,16.57,10.16,10.37,10.49,4.80,230.69,182.07,200.02
4,24.39,0.02,7.44,1.19,7.44,11.32,12.37,7.33,8.49,7.41,13.12,240.83,336.79,189.46
5,46.83,0.49,9.09,9.48,3.15,16.39,22.84,12.98,16.10,14.58,33.15,141.20,319.33,295.27
6,25.77,0.58,5.96,6.10,4.67,12.50,12.19,6.66,7.02,6.81,97.33,258.61,300.02,201.20
7,16.35,1.27,7.01,1.71,7.17,8.62,6.56,4.11,4.30,4.02,62.92,67.32,173.66,70.19
8,16.28,2.22,5.24,7.98,7.38,7.33,6.78,4.71,4.48,4.82,191.41,138.17,160.37,258.30
